"None","1"
"1832","1"
"1838","1"
"1839","1"
"1843","1"
"1845","3"
"1847","2"
"1848","2"
"1849","1"
"1850","2"
"1851","2"
"1856","1"
"1857","1"
"1861","1"
"1862","1"
"1863","2"
"1864","1"
"1865","1"
"1867","1"
"1868","2"
"1869","2"
"1870","3"
"1871","1"
"1872","2"
"1873","1"
"1874","2"
"1875","1"
"1876","1"
"1878","1"
"1879","1"
"1880","3"
"1881","1"
"1882","4"
"1883","4"
"1884","2"
"1885","3"
"1886","4"
"1887","5"
"1888","2"
"1889","3"
"1890","3"
"1891","1"
"1892","2"
"1894","5"
"1895","1"
"1896","3"
"1897","1"
"1898","4"
"1899","4"
"1900","3"
"1901","3"
"1902","3"
"1903","2"
"1904","5"
"1905","2"
"1906","5"
"1907","1"
"1908","8"
"1909","4"
"1910","4"
"1911","7"
"1912","6"
"1913","5"
"1914","8"
"1915","2"
"1916","3"
"1917","2"
"1918","1"
"1919","1"
"1921","3"
"1922","5"
